Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
15,Sun,2026-12-13,,Rizespor,,Başakşehir,,Çaykur Didi Stadyumu,,Head-to-Head,
,,,,,,,,,,,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sun,2026-12-20,,Galatasaray,,Alanyaspor,,RAMS Park,,Head-to-Head,
16,Sun,2026-12-20,,Samsunspor,,Gaziantep,,Yeni 19 Mayıs Stadyumu,,Head-to-Head,
16,Sun,2026-12-20,,Gençlerbirliği,,Yeni Çorumspor,,Eryaman Stadyumu,,Head-to-Head,
16,Sun,2026-12-20,,Konyaspor,,Eyüpspor,,Konya Büyükşehir Stadı,,Head-to-Head,
16,Sun,2026-12-20,,Başakşehir,,Erzurum BB,,Başakşehir Fatih Terim Stadium,,Head-to-Head,
16,Sun,2026-12-20,,Trabzonspor,,Kocaelispor,,Papara Park Stadyumu,,Head-to-Head,
16,Sun,2026-12-20,,Kasımpaşa,,Fenerbahçe,,Recep Tayyip Erdoğan Stadyumu,,Head-to-Head,
16,Sun,2026-12-20,,Amedspor,,Göztepe,,Diyarbakır Yeni Stadyumu,,Head-to-Head,
16,Sun,2026-12-20,,Beşiktaş,,Rizespor,,Tüpraş Stadyumu,,Head-to-Head,
,,,,,,,,,,,
17,Sun,2027-01-17,,Gaziantep,,Galatasaray,,Gaziantep Stadyumu,,Head-to-Head,
17,Sun,2027-01-17,,Erzurum BB,,Trabzonspor,,Kazım Karabekir Stadyumu,,Head-to-Head,
17,Sun,2027-01-17,,Fenerbahçe,,Amedspor,,Chobani Stadyumu Fenerbahçe Şükrü Saraco...,,Head-to-Head,
17,Sun,2027-01-17,,Alanyaspor,,Başakşehir,,GAİN Park Stadyumu,,Head-to-Head,
17,Sun,2027-01-17,,Yeni Çorumspor,,Konyaspor,,Çorum Şehir Stadyumu,,Head-to-Head,
17,Sun,2027-01-17,,Eyüpspor,,Samsunspor,,Necmi Kadıoğlu Stadyumu,,Head-to-Head,
17,Sun,2027-01-17,,Rizespor,,Gençlerbirliği,,Çaykur Didi Stadyumu,,Head-to-Head,
17,Sun,2027-01-17,,Göztepe,,Beşiktaş,,Gürsel Aksel Stadyumu,,Head-to-Head,
17,Sun,2027-01-17,,Kocaelispor,,Kasımpaşa,,Yıldız Entegre Kocaeli Stadyumu,,Head-to-Head,
,,,,,,,,,,,
